"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1061","1.1528664006216667E+0","-6.1658554202647885E-29","-7.0211689827439822E-34","1.1605272942541593E-15","1.5125857734123080E-2","2.4890034933746198E-33","3.1719909079086999E+0","3.3735785638881479E+0","1.4953905872407741E+1","7.2568987365968906E+2","1.215058560962404E-2"
"1060","1.1526659231245355E+0","-2.0072776276376920E-29","4.2162043628118397E-35","1.7098039058903932E-15","1.6191828073637185E-2","4.3518093911226988E-33","3.1719663196335199E+0","3.3736250803145791E+0","1.4954112063622560E+1","7.2553238803113197E+2","1.215058560962404E-2"
"1059","1.1524650288309670E+0","-2.5352944635548638E-29","3.0974276144167276E-33","8.0442037224833374E-16","1.7258618815886074E-2","-7.0457720795066926E-33","3.1719400678396101E+0","3.3736747573552464E+0","1.4954332264746112E+1","7.2536427432328605E+2","1.215058560962404E-2"
"1058","1.1522637180415274E+0","1.5088686306894165E-28","2.8039713272056976E-33","2.1186204647995879E-15","1.8326231676570177E-2","-3.8552100476743152E-33","3.1719121527181202E+0","3.3737275973134211E+0","1.4954566485988002E+1","7.2518553896715605E+2","1.215058560962404E-2"
"1057","1.1520619910667955E+0","9.7005278488818630E-29","3.7441258315216091E-33","1.6158738838265829E-15","1.9394668354816343E-2","-9.5257360213234890E-33","3.1718825744745001E+0","3.3737836026347106E+0","1.4954814738188761E+1","7.2499618885205405E+2","1.215058560962404E-2"
"1056","1.1518598482274209E+0","-1.0466707932672615E-28","-2.5146028215996522E-35","9.2683376109270905E-16","2.0463930533164365E-2","-3.6903102307730262E-34","3.1718513333288101E+0","3.3738427759072360E+0","1.4955077032820633E+1","7.2479623123773695E+2","1.215058560962404E-2"
"1055","1.1516572898541804E+0","4.4635646354337728E-28","6.2629677796239141E-34","2.5127515537798477E-15","2.1534019877526032E-2","-2.3373529671750365E-33","3.1718184295159801E+0","3.3739051198614662E+0","1.4955353381986843E+1","7.2458567386421498E+2","1.215058560962404E-2"
"1054","1.1514543162880491E+0","-9.0225378687145893E-29","-2.2175113181087043E-33","2.6877079847860112E-15","2.2604938037169828E-2","-6.9232209159617151E-34","3.1717838632860400E+0","3.3739706373699443E+0","1.4955643798420379E+1","7.2436452483941002E+2","1.215058560962404E-2"
"1053","1.1512509278802487E+0","4.6296422181817803E-29","-4.5290621842831915E-33","1.6110139495949556E-15","2.3676686644701062E-2","2.9289146217545986E-33","3.1717476349044400E+0","3.3740393314464323E+0","1.4955948295480201E+1","7.2413279272260695E+2","1.215058560962404E-2"
"1052","1.1510471249923178E+0","-1.5762489083503426E-28","-1.7530117866454003E-33","2.6366515547835142E-15","2.4749267316037257E-2","2.7638105627098542E-33","3.1717097446523002E+0","3.3741112052463178E+0","1.4956266887153058E+1","7.2389048652146198E+2","1.215058560962404E-2"
"1051","1.1508429079961637E+0","-5.7822253975318434E-28","-7.0632737210224980E-34","9.0961079643376816E-16","2.5822681650394516E-2","2.9442842103916000E-33","3.1716701928266602E+0","3.3741862620657805E+0","1.4956599588049770E+1","7.2363761565803100E+2","1.215058560962404E-2"
"1050","1.1506382772741324E+0","-3.0384310575302981E-28","3.7401409056723215E-33","2.3633411544620955E-15","2.6896931230270166E-2","-3.1167586190160001E-33","3.1716289797407602E+0","3.3742645053422371E+0","1.4956946413407213E+1","7.2337418995485302E+2","1.215058560962404E-2"
"1049","1.1504332332190561E+0","-2.7863632411499423E-28","4.3817844970686671E-33","9.9883479663015387E-16","2.7972017621436297E-2","-8.2310347883843134E-33","3.1715861057243200E+0","3.3743459386527510E+0","1.4957307379081270E+1","7.2310021969795605E+2","1.215058560962404E-2"
"1048","1.1502277762343238E+0","1.1151212524866538E-28","2.0448282592370332E-33","2.7614510284809108E-15","2.9047942372908694E-2","-3.7403466171837154E-33","3.1715415711238002E+0","3.3744305657155809E+0","1.4957682501553696E+1","7.2281571561153999E+2","1.215058560962404E-2"
"1047","1.1500219067339355E+0","2.1270895952365671E-28","-1.2829345344874446E-34","4.7917192151915589E-16","3.0124707016965818E-2","-5.6760978168720715E-33","3.1714953763026399E+0","3.3745183903884826E+0","1.4958071797924591E+1","7.2252068882528204E+2","1.215058560962404E-2"
"1046","1.1498156251425629E+0","-2.6035612090600673E-28","1.8584742010652989E-33","9.5412561632666957E-16","3.1202313069120826E-2","1.1848454083830788E-33","3.1714475216415998E+0","3.3746094166689660E+0","1.4958475285913529E+1","7.2221515091479102E+2","1.215058560962404E-2"
"1045","1.1496089318956062E+0","-1.1111792481678945E-28","-2.1471227163814657E-33","1.8653002894890655E-15","3.2280762028130065E-2","2.7409001778123278E-33","3.1713980075389498E+0","3.3747036486941817E+0","1.4958892983859066E+1","7.2189911391162002E+2","1.215058560962404E-2"
"1044","1.1494018274392568E+0","-7.8806111756976618E-29","1.1080327300285964E-33","1.7233592536474315E-15","3.3360055375978789E-2","8.0301251714135221E-34","3.1713468344107900E+0","3.3748010907405486E+0","1.4959324910717084E+1","7.2157259023556298E+2","1.215058560962404E-2"
"1043","1.1491943122305501E+0","-9.3875717866456355E-29","-1.0513371681204990E-33","4.5463996352098740E-16","3.4440194577890618E-2","8.6996926311136512E-33","3.1712940026912801E+0","3.3749017472233533E+0","1.4959771086059027E+1","7.2123559280661198E+2","1.215058560962404E-2"
"1042","1.1489863867374295E+0","1.6773144265586088E-28","-2.8562455609867647E-33","1.0305925854215700E-15","3.5521181082330509E-2","5.4081203697151146E-33","3.1712395128329498E+0","3.3750056226973268E+0","1.4960231530074436E+1","7.2088813491164899E+2","1.215058560962404E-2"
"1041","1.1487780514387995E+0","-1.2395346043246476E-28","9.8747402940826262E-34","1.7437604853389148E-15","3.6603016320996308E-2","-1.9721974020356011E-33","3.1711833653069399E+0","3.3751127218550590E+0","1.4960706263563937E+1","7.2053023036289198E+2","1.215058560962404E-2"
"1040","1.1485693068245870E+0","-2.7775052552740525E-29","4.2187022883073371E-34","-5.9957947040197223E-16","3.7685701708850466E-2","-5.0447001281110806E-34","3.1711255606032802E+0","3.3752230495281750E+0","1.4961195307944452E+1","7.2016189332437000E+2","1.215058560962404E-2"
"1039","1.1483601533957957E+0","1.4509393965298046E-28","3.4505578723472510E-33","8.5307160149997797E-16","3.8769238644102970E-2","-7.5834431955728070E-33","3.1710660992311301E+0","3.3753366106863374E+0","1.4961698685244777E+1","7.1978313845342404E+2","1.215058560962404E-2"
"1038","1.1481505916645618E+0","-4.4865129184454938E-28","-3.6592551393922399E-33","7.8700344145305550E-16","3.9853628508239577E-2","4.0666050742544413E-33","3.1710049817191002E+0","3.3754534104375318E+0","1.4962216418106841E+1","7.1939398085448795E+2","1.215058560962404E-2"
"1037","1.1479406221542148E+0","-8.6777484191124018E-29","-8.3104511867258671E-35","-1.0999028635076399E-15","4.0938872666036352E-2","-2.7446441273196968E-33","3.1709422086154699E+0","3.3755734540272417E+0","1.4962748529782059E+1","7.1899443604947396E+2","1.215058560962404E-2"
"1036","1.1477302453993286E+0","-2.5596416666584701E-29","1.1517675483639166E-33","5.8471804299037460E-16","4.2024972465572186E-2","-6.9602901303148959E-33","3.1708777804884600E+0","3.3756967468392500E+0","1.4963295044134874E+1","7.1858452000130001E+2","1.215058560962404E-2"
"1035","1.1475194619457809E+0","9.0050726110999307E-29","-3.1442886967122581E-33","2.3239493791482341E-16","4.3111929238248671E-2","6.2069510657034165E-33","3.1708116979265499E+0","3.3758232943944186E+0","1.4963855985637357E+1","7.1816424914243999E+2","1.215058560962404E-2"
"1034","1.1473082723508037E+0","1.5559562863949877E-28","3.8430025388410258E-33","-1.1976031662708445E-15","4.4199744298816603E-2","-7.5742978495234096E-33","3.1707439615386601E+0","3.3759531023512968E+0","1.4964431379371900E+1","7.1773364034353494E+2","1.215058560962404E-2"
"1033","1.1470966771830433E+0","-2.0146250179318852E-28","2.6588683045401944E-33","-6.7198089890127942E-16","4.5288418945399353E-2","-6.4517242543751414E-33","3.1706745719544802E+0","3.3760861765057375E+0","1.4965021251029508E+1","7.1729271089816496E+2","1.215058560962404E-2"
"1032","1.1468846770226089E+0","-1.1382215017035824E-28","1.0118126399420381E-33","-1.7235645294446718E-15","4.6377954459517576E-2","8.6794388634489832E-34","3.1706035298247000E+0","3.3762225227906733E+0","1.4965625626908823E+1","7.1684147858872996E+2","1.215058560962404E-2"
"1031","1.1466722724611329E+0","-8.2351515118357095E-29","-1.0971417748682279E-33","4.1715428404097559E-17","4.7468352106130256E-2","4.2027376056552319E-34","3.1705308358213200E+0","3.3763621472758656E+0","1.4966244533914990E+1","7.1637996156893905E+2","1.215058560962404E-2"
"1030","1.1464594641018151E+0","-2.1039107373034654E-28","1.8027969111386012E-33","-2.5790344486175832E-16","4.8559613133653819E-2","-2.9349008267361611E-34","3.1704564906378501E+0","3.3765050561682557E+0","1.4966877999561236E+1","7.1590817854623504E+2","1.215058560962404E-2"
"1029","1.1461394957900135E+0","-2.7425865213193169E-28","9.9765417782836826E-34","-8.1292315923783023E-16","5.0198126204475564E-2","-6.5164939931054495E-33","3.1703418784707500E+0","3.3767255916841128E+0","1.4967855557155699E+1","7.1518129711464098E+2","1.215058560962404E-2"
"1028","1.1457114639182833E+0","2.3387990806614703E-28","-9.2147002160959118E-35","-1.1850295996621698E-15","5.2385843492127881E-2","-1.6408196670670441E-33","3.1701832899797102E+0","3.3770311948154057E+0","1.4969210190039780E+1","7.1417637282417195E+2","1.215058560962404E-2"
"1027","1.1452818283031094E+0","-1.1017745596177424E-28","-3.8436902030362568E-33","1.3869293791651469E-15","5.4577035944377905E-2","4.8430955001053656E-34","3.1700181103689200E+0","3.3773500541964978E+0","1.4970623583290028E+1","7.1313074280575802E+2","1.215058560962404E-2"
