"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"517","5.0449409873819595E-1","-1.3664835576017381E-24","8.5132165406079097E-1","-1.9640021963834167E-12","4.8799007892400292E-1","2.3203203842135542E-12","2.0251822936805000E+0","3.0555559495207052E+0","1.3544221719367979E+1","1.9407438695859599E+2","1.215058560962404E-2"
"516","5.0283975171758888E-1","-1.1679602105846781E-24","8.5232420072326598E-1","-1.9927944631113186E-12","4.8963750038246534E-1","2.3498450022581337E-12","2.0218611909883402E+0","3.0559509474362128E+0","1.3545972608382845E+1","1.9480234827052200E+2","1.215058560962404E-2"
"515","5.0118407470626103E-1","-1.9519581022876945E-25","8.5332312625496876E-1","-2.0735733005613066E-12","4.9128629458214806E-1","2.4410176665580813E-12","2.0185377004949401E+0","3.0563434470274142E+0","1.3547712423190955E+1","1.9552940963235500E+2","1.215058560962404E-2"
"514","4.9952707370511296E-1","1.1646891168086006E-24","8.5431843221581383E-1","-1.9123715318976822E-12","4.9293645526675861E-1","2.2438063489788175E-12","2.0152118324580002E+0","3.0567334688434351E+0","1.3549441254879477E+1","1.9625555569452700E+2","1.215058560962404E-2"
"513","4.9786875470042091E-1","8.7352154124948224E-25","8.5531012015938923E-1","-2.0919349031275678E-12","4.9458797619733497E-1","2.4490185923328871E-12","2.0118835971203701E+0","3.0571210332214340E+0","1.3551159193595987E+1","1.9698077114056301E+2","1.215058560962404E-2"
"512","4.9620912366396697E-1","2.3179871565830022E-26","8.5629819163295673E-1","-1.7647081826975782E-12","4.9624085115266103E-1","2.0557870228707971E-12","2.0085530047095199E+0","3.0575061602892251E+0","1.3552866328560121E+1","1.9770504068631899E+2","1.215058560962404E-2"
"511","4.9454818655301702E-1","-1.9289663740838709E-24","8.5728264817754551E-1","-2.0442167255869098E-12","4.9789507392840621E-1","2.3803993261670047E-12","2.0052200654382202E+0","3.0578888699678082E+0","1.3554562748074774E+1","1.9842834908086300E+2","1.215058560962404E-2"
"510","4.9288594931049989E-1","2.4617083173393185E-24","8.5826349132792046E-1","-1.9030719726110477E-12","4.9955063833793817E-1","2.2092596819646895E-12","2.0018847895037002E+0","3.0582691819739232E+0","1.3556248539537426E+1","1.9915068110624699E+2","1.215058560962404E-2"
"509","4.9122241786497856E-1","-3.7322201094436934E-24","8.5924072261267392E-1","-1.9139825075992906E-12","5.0120753821138930E-1","2.2161821347525737E-12","1.9985471870883700E+0","3.0586471158224988E+0","1.3557923789451001E+1","1.9987202157780899E+2","1.215058560962404E-2"
"508","4.8955759813076705E-1","-3.6394065513368698E-25","8.6021434355423132E-1","-2.1432741552135756E-12","5.0286576739601563E-1","2.4791219114437997E-12","1.9952072683593600E+0","3.0590226908291402E+0","1.3559588583434893E+1","2.0059235534522500E+2","1.215058560962404E-2"
"507","4.8789149600800258E-1","7.2462903096110850E-25","8.6118435566888318E-1","-2.0993104237394524E-12","5.0452531975612092E-1","2.4216642203540101E-12","1.9918650434685301E+0","3.0593959261125092E+0","1.3561243006235507E+1","2.0131166729154199E+2","1.215058560962404E-2"
"506","4.8622411738268706E-1","1.7337893782707467E-24","8.6215076046682781E-1","-2.0287398304746347E-12","5.0618618917265923E-1","2.3332667761939092E-12","1.9885205225527101E+0","3.0597668405967173E+0","1.3562887141736880E+1","2.0202994233440700E+2","1.215058560962404E-2"
