"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1053","9.7735308408116783E-1","3.0619912011032465E-28","6.5384287176917934E-33","3.2413011785454502E-12","1.0865647147294151E+0","1.5117120662309202E-30","4.0864589760334198E+0","6.0722350228857400E-2","2.6916115705548349E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1052","9.7726358525551771E-1","-1.2191712659518078E-28","7.2067795407388214E-33","-8.9367013238124385E-13","1.0820992616171117E+0","-4.5115021794728679E-31","4.0765746010491002E+0","6.1493447456705166E-2","2.7257916411989297E-1","1.0000000000146900E+0","1.215058560962404E-2"
"1051","9.7717291534284889E-1","-4.5617833120615727E-28","1.7924361039304536E-32","1.9064346233896302E-12","1.0776339771139500E+0","-1.6477286116041151E-30","4.0667286204136897E+0","6.2277784724702037E-2","2.7605585969870550E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1050","9.7708105337245099E-1","-4.9617527044801554E-28","1.8923014019989119E-32","-3.1736064978363522E-12","1.0731688663235288E+0","2.3969552327391297E-30","4.0569210134855203E+0","6.3075650716547679E-2","2.7959252342682211E-1","1.0000000000036400E+0","1.215058560962404E-2"
"1049","9.7698797789103631E-1","-1.6518971827207595E-28","-4.9212776293785560E-32","1.2164081008831068E-12","1.0687039345321763E+0","-8.8300878684616659E-31","4.0471517592707098E+0","6.3887341799599623E-2","2.8319046899813916E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1048","9.7689366694900437E-1","-4.2080100374474568E-28","-1.0766764182204119E-33","-1.1267269332097581E-12","1.0642391872116794E+0","-3.2598038212709538E-31","4.0374208364178799E+0","6.4713162267744678E-2","2.8685104524211319E-1","1.0000000000114999E+0","1.215058560962404E-2"
"1047","9.7679809808631057E-1","1.9410950394388668E-28","-3.2387220353855665E-33","9.5210938540282464E-13","1.0597746300309427E+0","-3.2339192475867509E-30","4.0277282232088298E+0","6.5553424593249809E-2","2.9057563724012858E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1046","9.7670124831781802E-1","5.1000522308895247E-28","-2.8783812951070992E-32","-4.9068027591035330E-13","1.0553102688631464E+0","8.1870078229686154E-32","4.0180738975522798E+0","6.6408449687873544E-2","2.9436566748291437E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1045","9.7660309411814683E-1","-1.6444523174631994E-30","4.8211960403495464E-33","1.5146059645487574E-13","1.0508461097941073E+0","-2.5211250520051896E-32","4.0084578369758104E+0","6.7278567173703563E-2","2.9822259707107307E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1044","9.7650361140599617E-1","-2.8643228602525789E-29","-6.0368408700921077E-33","4.8340385046055213E-13","1.0463821591304743E+0","-1.3117087554046129E-31","3.9988800186179900E+0","6.8164115664104782E-2","3.0214792696042664E-1","1.0000000000000000E+0","1.215058560962404E-2"
