"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1019","8.3874488118693447E-1","1.0502462518812621E-28","-8.8415512893708848E-33","4.0995396126116491E-16","-1.5116673766233751E-2","-6.5827801195483183E-33","3.1881506874035401E+0","2.6922492275052274E+0","1.1933808794058502E+1","1.3354776026593900E+3","1.215058560962404E-2"
"1018","8.3506804644887977E-1","1.2266774083447674E-28","2.9396410077058519E-33","-5.7749632951119367E-16","1.5680066177832939E-2","-1.4251599469821348E-32","3.1881335215939899E+0","2.6923096328625293E+0","1.1934076550095650E+1","1.3352764660533401E+3","1.215058560962404E-2"
"1017","8.3895265816972897E-1","-1.2226499343019575E-28","-2.6345796525163289E-33","4.2774443920012040E-16","-1.6808263746587039E-2","3.0649839703340324E-32","3.1881058618550200E+0","2.6924069792640233E+0","1.1934508052993062E+1","1.3349524140618100E+3","1.215058560962404E-2"
"1016","8.3487453267310352E-1","5.2277607849522065E-29","-3.0628915903895688E-33","-2.2408148551631026E-16","1.7348421033127333E-2","-2.1647374992285377E-33","3.1880868232458899E+0","2.6924739939887528E+0","1.1934805106067918E+1","1.3347293964946700E+3","1.215058560962404E-2"
"1015","8.3916120003655392E-1","-4.3503246242081752E-31","-3.5867036280594883E-33","-2.0705630658651813E-16","-1.8501100179416276E-2","3.6927038311448881E-33","3.1880563052010800E+0","2.6925814322074215E+0","1.1935281342497170E+1","1.3343719640175900E+3","1.215058560962404E-2"
"1014","8.3468172747653091E-1","5.9818183422737616E-29","8.5399194389498859E-33","1.0175302560325390E-15","1.9015622583748740E-2","3.7107417919582561E-33","3.1880353934417700E+0","2.6926550634749176E+0","1.1935607724415524E+1","1.3341270809506000E+3","1.215058560962404E-2"
"1013","8.3937050924752521E-1","4.1195596800515341E-29","4.4579594697378284E-34","5.3694165278384290E-16","-2.0195187047741394E-2","-1.2587945824989581E-32","3.1880020183355700E+0","2.6927725986479119E+0","1.1936128717147831E+1","1.3337363139149800E+3","1.215058560962404E-2"
"1012","8.3448962779448299E-1","1.5841469720505532E-29","-4.7254872903055958E-33","6.4397786176883860E-17","2.0681675957561155E-2","1.1683685040676028E-32","3.1879792328938898E+0","2.6928528548636916E+0","1.1936484465168434E+1","1.3334695806103400E+3","1.215058560962404E-2"
"1011","8.3958058823199766E-1","-7.4063231121980390E-29","-2.9347215638476607E-33","5.8938037131888398E-16","-2.1890528273484582E-2","1.8211604838871470E-32","3.1879430022493498E+0","2.6929804920425831E+0","1.1937050236595663E+1","1.3330455311184601E+3","1.215058560962404E-2"
"1010","8.3429823053527785E-1","7.7866103094775445E-29","1.0062419722134913E-32","-1.9039401761553104E-16","2.2346586329100977E-2","-2.3714846211455124E-32","3.1879183423701400E+0","2.6930673829907721E+0","1.1937435394088153E+1","1.3327569621595801E+3","1.215058560962404E-2"
"1009","8.3979143938825174E-1","-8.4413170062008635E-29","-4.1508351219626123E-33","-1.4199925454475200E-16","-2.3587127716760803E-2","8.2675573978643618E-33","3.1878792580324000E+0","2.6932051269882660E+0","1.1938045965543362E+1","1.3322996889783001E+3","1.215058560962404E-2"
"1008","8.3410753258025050E-1","6.4182899731179426E-29","9.6602595948315916E-33","3.2786627024215291E-16","2.4010358918986840E-2","2.5878743232222824E-32","3.1878527226925200E+0","2.6932986639935139E+0","1.1938460582705989E+1","1.3319892977539801E+3","1.215058560962404E-2"
"1007","8.4000306508316824E-1","-5.4532993489819772E-29","-1.6442109682691664E-33","1.4657345391047314E-16","-2.5284989175160283E-2","1.0428809556342711E-33","3.1878107868759700E+0","2.6934465192164536E+0","1.1939115973723187E+1","1.3314988668422900E+3","1.215058560962404E-2"
"1006","8.3391753078376218E-1","-1.2353744086236199E-29","2.5056778807410339E-33","2.9668987854737784E-16","2.5672998993325941E-2","-1.4211632661893390E-32","3.1877823747355598E+0","2.6935467153196151E+0","1.1939560108361551E+1","1.3311666649439701E+3","1.215058560962404E-2"
"1005","8.4021546765189170E-1","1.9421160073026842E-29","6.4757102166036702E-34","-3.6221100355691450E-16","-2.6984116383033146E-2","-8.2105341669059727E-33","3.1877375900747702E+0","2.6937046855887981E+0","1.1940260335877010E+1","1.3306431500598901E+3","1.215058560962404E-2"
"1004","8.3372822197319374E-1","-1.0876530390156582E-28","-3.3940224715444531E-33","2.4773469586854584E-16","2.7334511863127093E-2","1.1029381375121326E-32","3.1877072994248201E+0","2.6938115557362603E+0","1.1940734054243265E+1","1.3302891467142699E+3","1.215058560962404E-2"
"1003","8.4042864939748085E-1","-6.4039652219367198E-29","6.6835317403572965E-33","2.4756908612957660E-16","-2.8684513010759718E-2","-1.4631871892312358E-32","3.1876596690291699E+0","2.6939796440922201E+0","1.1941479131734621E+1","1.3297326300440200E+3","1.215058560962404E-2"
"1002","8.3353960294892948E-1","1.8959376856277003E-29","1.1384263119634575E-32","1.8493806425451279E-16","2.8994902883712523E-2","-1.7223366738135173E-32","3.1876274977353600E+0","2.6940932053395761E+0","1.1941982509430309E+1","1.3293568314115400E+3","1.215058560962404E-2"
"1001","8.4064261259054718E-1","1.4625852137546529E-28","-6.8659567086614073E-33","1.2118590447934676E-15","-3.0386182664024413E-2","1.4524055550454938E-32","3.1875770252473901E+0","2.6942714138344699E+0","1.1942772445994061E+1","1.3287674041648499E+3","1.215058560962404E-2"
"1000","8.3335167048432313E-1","-3.8501624299692254E-29","-8.2865813045644820E-34","9.6688914263352967E-16","3.0654177454131643E-2","7.2973748903566951E-33","3.1875429706903500E+0","2.6943916855638501E+0","1.1943305568933457E+1","1.3283698127337700E+3","1.215058560962404E-2"
"999","8.4085735946888096E-1","1.5533990503916241E-28","5.8554077251465032E-33","1.1415493863971735E-15","-3.2089128883072179E-2","-1.0794117935747754E-32","3.1874896603477398E+0","2.6945800150396697E+0","1.1944140368301865E+1","1.3277475759074000E+3","1.215058560962404E-2"
"998","8.3316442132565660E-1","1.6841939216120327E-29","1.6155053962220862E-33","8.4647623568049527E-16","3.2312341016578879E-2","1.6201309664925719E-33","3.1874537193595400E+0","2.6947070191914273E+0","1.1944703333738957E+1","1.3273281896907599E+3","1.215058560962404E-2"
"997","8.4107289223706772E-1","-2.9706259163139718E-28","7.4051589061194677E-34","3.0217556703792374E-15","-3.3793355141976282E-2","-1.1560563762370902E-32","3.1873975760609099E+0","2.6949054690438885E+0","1.1945582993233439E+1","1.3266732547880099E+3","1.215058560962404E-2"
"996","8.3297785219207987E-1","1.5698773478442300E-28","-5.0427590930642853E-33","1.5588661487060842E-15","3.3969399055803741E-2","2.6642203303194883E-32","3.1873597448579001E+0","2.6950392303626476E+0","1.1946175910852581E+1","1.3262320665811999E+3","1.215058560962404E-2"
"995","8.4128921306608873E-1","-1.5632509045747675E-28","-5.0208963675069293E-34","-5.7906556039539619E-16","-3.5498864847888778E-2","6.1290863199049482E-33","3.1873007742322299E+0","2.6952477982908767E+0","1.1947100420274158E+1","1.3255445563655501E+3","1.215058560962404E-2"
"994","8.3279195977554255E-1","-1.2481893633903274E-28","-1.8206497315917147E-33","3.2892428309644456E-16","3.5625357098535093E-2","8.3408377156946232E-33","3.1872610483442099E+0","2.6953883445858962E+0","1.1947723413344166E+1","1.3250815529817701E+3","1.215058560962404E-2"
"993","8.4150632409291104E-1","6.6433840259058623E-29","5.6088948048355613E-33","-1.1924537777873169E-15","-3.7205661340284676E-2","-8.0428146329306487E-33","3.1871992568239502E+0","2.6956070263281884E+0","1.1948692753802177E+1","1.3243616023298000E+3","1.215058560962404E-2"
"992","8.3260674074070828E-1","6.1652262105383564E-29","2.9313908740730026E-34","2.3226933672677101E-16","3.7280220712884463E-2","-2.8631457128260916E-33","3.1871576310197098E+0","2.6957543887482278E+0","1.1949345960394721E+1","1.3238767636891500E+3","1.215058560962404E-2"
"991","8.4172422742007058E-1","1.9989825955279153E-28","8.5877150392543201E-33","-1.6971772906658903E-15","-3.8913747890217128E-2","8.1964282346961052E-34","3.1870930259176302E+0","2.6959831778025261E+0","1.1950360103067798E+1","1.3231245204097499E+3","1.215058560962404E-2"
"990","8.3242219172485910E-1","4.0340441499248703E-29","4.0511179361823577E-33","5.7201790260128201E-16","3.8933995507774995E-2","-1.8029218074133761E-34","3.1870494941267502E+0","2.6961373911256215E+0","1.1951043677341872E+1","1.3226178186898301E+3","1.215058560962404E-2"
"989","8.4194292511523516E-1","-3.1604021405254485E-29","-2.6238503278291985E-33","-2.3467542264916355E-15","-4.0623127699553258E-2","6.0819019766629416E-33","3.1869820837164098E+0","2.6963762784561323E+0","1.1952102582177469E+1","1.3218334444293801E+3","1.215058560962404E-2"
"988","8.3223830933778187E-1","-1.1279133969618078E-29","1.4982521857162646E-32","1.3069567302283595E-15","4.0586687132342487E-2","-3.3220316710170437E-32","3.1869366389474800E+0","2.6965373813943714E+0","1.1952816695730354E+1","1.3213048431777900E+3","1.215058560962404E-2"
"987","8.4216241921076040E-1","-5.9907378638095489E-29","-9.6154027304042131E-33","-8.2351067924624865E-16","-4.2333803900201895E-2","1.7236485255090350E-32","3.1868664325474301E+0","2.6967863551228817E+0","1.1953920310076468E+1","1.3204885143481599E+3","1.215058560962404E-2"
"986","8.3205509016164714E-1","9.7431933661443934E-31","2.5758460772774933E-34","1.5837683314632419E-15","4.2238301275349978E-2","-1.5717440925296740E-32","3.1868190668025900E+0","2.6969543906416589E+0","1.1954665153358883E+1","1.3199379674496099E+3","1.215058560962404E-2"
